Picture,Common Name,Scientific Name,Family,Last Seen,Comments,location
![](birdspics/blue_jay_2603.jpg),Blue Jay 冠蓝鸦  ![](pixelart/bluejay_s.png),*cyanocitta cristata*,"Jays, Magpies, Crows, Ravens","Mar '26, West Lafayette IN",only heard them singing. never seen with eyes,US
![](birdspics/red_billed_blue_magpie_2303.jpg),Red-billed Blue-Magpie 红嘴蓝鹊 ![](pixelart/redbilledbluemagpie_s.png),*urocissa erythroryncha*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA,CN
![](birdspics/azure_winged_magpie_2507.jpg),Azure-winged Magpie 灰喜鹊 ![](pixelart/azurewingedmagpie_s.png),*cyanopica cyanus*,"Jays, Magpies, Crows, Ravens","July '25, Suzhou Jiangsu","Very common in northern China, esp. Shandong, Beijing",CN
![](birdspics/common_magpie_2507.jpg),Oriental Magpie 喜鹊 ![](pixelart/orientalmagpie_s.png),*pica serica*,"Jays, Magpies, Crows, Ravens","Dec '25, Suzhou Jiangsu",same as above,CN
![](birdspics/american_crow_2407.jpg),American Crow 短嘴鸦 ![](pixelart/americancrow_s.png),*corvus brachyrhynchos*,"Jays, Magpies, Crows, Ravens","Jan '25, Baltimore MD",NA,US
![](birdspics/fish_crow_2502.jpeg),Fish Crow 鱼鸦 ![](pixelart/fishcrow_s.png),*corvus ossifragus*,"Jays, Magpies, Crows, Ravens","Apr '25, Baltimore MD","song is a reluctant 'uh-uh'. sits on trees of Baltimore in flocks in evenings, esp. from Nov to Feb",US
![](birdspics/large_billed_crow_2303.jpg),Large-billed Crow 大嘴乌鸦 ![](pixelart/largebilledcrow_s.png),*corvus macrohynchos*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA,CN
![](birdspics/carrion_crow_2507.jpg),Carrion Crow 小嘴乌鸦 ![](pixelart/carrioncrow_s.png),*corvus corone*,"Jays, Magpies, Crows, Ravens","July '25, Beijing",most common crow in Beijing city,CN
![](birdspics/common_raven_2506.jpg),Common Raven 渡鸦 ![](pixelart/commonraven_s.png),*corvus corax*,"Jays, Magpies, Crows, Ravens","June '25, Malibu CA","'quoth the raven, nevermore' - quoth someone who died in Baltimore.",US
![](birdspics/eastern_wood_pewee_2605.jpg),Eastern Wood-Pewee 东部木鹟,*contopus virens*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","May '26, West Lafayette IN",its call is 'pewee'. I think birds are like pokemons,US
![](birdspics/black_phoebe_2506.jpg),Black Phoebe 黑长尾霸鹟 ![](pixelart/blackphoebe_s.png),*sayornis nigricans*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","June '25, Malibu CA",NA,US
![](birdspics/eastern_phoebe_2511.jpg),Eastern Phoebe 东菲比霸鹟 ![](pixelart/easternphoebe_s.png),*sayornis phoebe*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","May '26, West Lafayette IN",slightly yellow on sides,US
![](birdspics/great_crested_flycatcher_2605.jpg),Great Crested Flycatcher 大冠蝇霸鹟,*myiachus crinitus*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","May '26, Porter IN",NA,US
![](birdspics/oriental_magpie_robin_2507.jpg),Oriental Magpie-Robin 鹊鸲 ![](pixelart/orientalmagpierobin_s.png),*copsychus saularis*,Old World Flycathers,"Dec '25, Suzhou Jiangsu","very common in Eastern China, sings beautifully",CN
![](birdspics/verditer_flycatcher_2601.jpg),Verditer Flycatcher 铜蓝鹟,*eumyias thalassinus*,Old World Flycathers,"Jan '26, Suzhou Jiangsu","not common in Suzhou, but I saw it",CN
![](birdspics/daurian_redstart_2512.jpg),Daurian Redstart 北红尾鸲,*phoenicurus auroreus*,Old World Flycathers,"Dec '25, Suzhou Jiangsu",cute orange bird,CN
![](birdspics/long_tailed_shrike_2302.jpg),Long-tailed Shrike 棕背伯劳 ![](pixelart/longtailedshrike_s.png),*lanius schach*,Shrikes,"Dec '25, Suzhou Jiangsu",'butcher bird' - in me the tiger sniffs the plum blossoms,CN
![](birdspics/gray_catbird_2406.jpg),Gray Catbird 灰猫嘲鸫 ![](pixelart/graycatbird_s.png),*dumetella carolinensis*,"Catbirds, Mockingbirds, and Thrashers","May '26, West Lafayette IN","little gray bird, usually seen in summer evening",US
![](birdspics/brown_thrasher_2505.jpeg),Brown Thrasher 褐矢嘲鸫 ![](pixelart/brownthrasher_s.png),*toxostoma rufum*,"Catbirds, Mockingbirds, and Thrashers","Mar '26, West Lafayette IN",NA,US
![](birdspics/northern_mockingbird_2501.jpg),Northern Mockingbird 北嘲鸫 ![](pixelart/northernmockingbird_s.png),*mimus polyglottos*,"Catbirds, Mockingbirds, and Thrashers","Apr '25, Cambridge MD",NA,US
![](birdspics/eastern_bluebird_2203.jpg),Eastern Bluebird 东蓝鸲 ![](pixelart/easternbluebird_s.png),*sialia sialis*,Thrushes,"May '26, West Lafayette IN",NA,US
![](birdspics/western_bluebird_2506.jpg),Western Bluebird 西蓝鸲 ![](pixelart/westernbluebird_s.png),*sialia mexicana*,Thrushes,"June '25, Los Angeles CA",NA,US
![](birdspics/hermit_thrush_2501.jpg),Hermit Thrush 隐夜鸫 ![](pixelart/hermitthrush_s.png),*catharus guttatus*,Thrushes,"Jan '25, Cambridge MD",NA,US
![](birdspics/wood_thrush_2605.jpeg),Wood Thrush 棕林鸫,*hylocichla mustelina*,Thrushes,"May '26, Chicago IL",bird strike in Chi town,US
![](birdspics/american_robin_2503.jpg),American Robin 旅鸫 ![](pixelart/americanrobin_s.png),*turdus migratorius*,Thrushes,"Mar '26, West Lafayette IN","appear in large flocks, arrive in early spring, have a beautiful song",US
![](birdspics/chinese_blackbird_2506.jpg),Chinese Blackbird 乌鸫 ![](pixelart/chineseblackbird_s.png),*turdus mandarinus*,Thrushes,"Dec '25, Suzhou Jiangsu","black version robin, so cute!! Eats earthworm after rain",CN
![](birdspics/dusky_thrush_2601.jpg),Dusky Thrush 斑鸫 ![](pixelart/duskythrush_s.png),*turdus eunomus*,Thrushes,"Dec '25, Suzhou Jiangsu",NA,US
![](birdspics/pale_thrush_2601.jpg),Pale Thrush 白腹鸫,*turdus pallidus*,Thrushes,"Jan '26, Suzhou Jiangsu",NA,CN
![](birdspics/cedar_waxwing_2605.jpg),Cedar Waxwing 雪松太平鸟,*bombycilla cedrorum*,Waxwings,"May '26, West Lafayette IN","beautiful bird, song sounds like a mosquito",US
![](birdspics/light_vented_bulbul_2507.jpg),Light-vented Bulbul 白头鹎 ![](pixelart/lightventedbulbul_s.png),*pycnonotus sinensis*,Bulbuls,"Dec '25, Suzhou Jiangsu",very distinguishable singing pattern,CN
![](birdspics/white_browed_laughingthrush_2007.jpg),White-browed Laughingthrush 白颊噪鹛 ![](pixelart/whitethroatedlaughingthrush_s),*pterohinus sannio*,Laughingthrushes and allies,"July '20, Chengdu Sichuan",NA,CN
![](birdspics/vinous_throated_parrotbill_2507.jpg),Vinous-Throated Parrotbill 棕头鸦雀 ![](pixelart/vinousthroatedparrotbill_s.png),*suthora webbiana*,Parrotbills,"July '25, Beijing",small & cute,CN
![](birdspics/silver_throated_tit_2601.jpg),Silver-throated Tit 银喉长尾山雀,*aegithalos glaucogularis*,Long-tailed Tits and Bushtits,"Jan '26, Suzhou Jiangsu","very, very small",CN
![](birdspics/carolina_chickadee_2203.jpg),Carolina Chickadee 卡罗莱纳山雀 ![](pixelart/carolinachickadee_s.png),*poecile carolinensis*,"Tits, Chickadees, and Titmice","May '26, West Lafayette IN",NA,US
![](birdspics/tufted_titmouse_2504.jpg),Tufted Titmouse 美洲凤头山雀 ![](pixelart/tuftedtitmouse_s.png),*baeolophus bicolor*,"Tits, Chickadees, and Titmice","Oct '25, West Lafayette IN",small round fluffy ball,US
![](birdspics/white_breasted_nuthatch_2203.jpg),White-breasted Nuthatch 白胸䴓 ![](pixelart/whitebreastednuthatch_s.png),*sitta carolinensis*,Nuthatches,"May '26, West Lafayette IN",NA,US
![](birdspics/brown_creeper_2603.jpg),Brown Creeper 美洲旋木雀,*certhia americana*,Treecreepers,"Mar '26, West Lafayette IN","of the size of a nuthatch but goes upwards, has a bent bill",US
![](birdspics/northern_house_wren_2605.jpg),Northern House Wren 家鹪鹩,*troglodytes aedon*,Wrens,"May '26, West Lafayette IN",NA,US
![](birdspics/carolina_wren_2501.jpg),Carolina Wren 卡罗苇鹪鹩 ![](pixelart/carolinawren_s.png),*thryothorus ludovicianus*,Wrens,"May '26, West Lafayette IN",NA,US
![](birdspics/oriental_reed_warbler_2507.jpg),Oriental Reed Warbler 东方大苇莺 ![](pixelart/orientalreedwarbler_s.png),*acrocephalus orientalis*,Warblers,"July '25, Beijing",have a noisy song,CN
![](birdspics/blue_gray_gnatcatcher_2605.jpg),Blue-gray Gnatcatcher 灰蓝蚋莺,*polioptila caerulea*,Gnatcatchers,"May '26, West Lafayette IN",have a distinguishable song,US
![](birdspics/ruby_crowned_kinglet_2203.jpg),Ruby-crowned Kinglet 红冠戴菊 ![](pixelart/rubycrownedkinglet_s.png),*corthylio calendula*,Kinglets,"Mar '22, Durham NC",NA,US
![](birdspics/eastern_warbling_vireo_2605.jpg),Eastern Warbling Vireo 歌莺雀,*vireo gilvus*,Vireos,"May '26, West Lafayette IN",can be very loud,
![](birdspics/red_eyed_vireo_2605.jpg),Red-eyed Vireo 红眼莺雀,*vireo olivaceus*,Vireos,"May '26, Porter IN",NA,US
na,White-eyed Vireo 白眼莺雀,*vireo griseus*,Vireos,"June '26, West Lafayette IN",only heard it singing,US
![](birdspics/ovenbird_2510.jpeg),Ovenbird 灯顶灶莺 ![](pixelart/ovenbird_s.png),*seiurus aurocapilla*,Wood-Warblers,"Oct '25, West Lafayette IN",dead due to bird strike,US
